timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1676494297117,181,HomePage,200,OK,Thread Group 1-8,text,true,,29529,112,10,10,https://svelte.dev/,178,0,120
1676494296881,418,HomePage,200,OK,Thread Group 1-4,text,true,,29529,112,11,11,https://svelte.dev/,416,0,357
1676494296805,493,HomePage,200,OK,Thread Group 1-1,text,true,,29529,112,10,10,https://svelte.dev/,478,0,431
1676494296806,493,HomePage,200,OK,Thread Group 1-2,text,true,,29529,112,10,10,https://svelte.dev/,480,0,431
1676494296938,360,HomePage,200,OK,Thread Group 1-5,text,true,,29529,112,10,10,https://svelte.dev/,346,0,299
1676494296819,480,HomePage,200,OK,Thread Group 1-3,text,true,,29529,112,10,10,https://svelte.dev/,466,0,418
1676494297058,241,HomePage,200,OK,Thread Group 1-7,text,true,,29529,112,10,10,https://svelte.dev/,232,0,179
1676494297000,313,HomePage,200,OK,Thread Group 1-6,text,true,,29529,112,11,11,https://svelte.dev/,310,0,237
1676494297178,151,HomePage,200,OK,Thread Group 1-9,text,true,,29529,112,11,11,https://svelte.dev/,145,0,75
1676494297238,119,HomePage,200,OK,Thread Group 1-10,text,true,,29529,112,12,12,https://svelte.dev/,117,0,78
1676494297300,114,HomePage,200,OK,Thread Group 1-11,text,true,,29529,112,12,12,https://svelte.dev/,112,0,75
1676494297300,125,Tutorial,200,OK,Thread Group 1-8,text,true,,31956,247,13,13,https://svelte.dev/tutorial/basics,86,0,0
1676494297300,86,Tutorial-0,301,Moved Permanently,Thread Group 1-8,,true,,343,120,13,13,https://svelte.dev/tutorial,86,0,0
1676494297387,38,Tutorial-1,200,OK,Thread Group 1-8,text,true,,31613,127,13,13,https://svelte.dev/tutorial/basics,37,0,0
1676494297300,137,Tutorial,200,OK,Thread Group 1-5,text,true,,31956,247,13,13,https://svelte.dev/tutorial/basics,95,0,0
1676494297300,95,Tutorial-0,301,Moved Permanently,Thread Group 1-5,,true,,343,120,13,13,https://svelte.dev/tutorial,95,0,0
1676494297395,42,Tutorial-1,200,OK,Thread Group 1-5,text,true,,31613,127,13,13,https://svelte.dev/tutorial/basics,40,0,0
1676494297301,143,Tutorial,200,OK,Thread Group 1-1,text,true,,31956,247,13,13,https://svelte.dev/tutorial/basics,104,0,0
1676494297301,104,Tutorial-0,301,Moved Permanently,Thread Group 1-1,,true,,343,120,13,13,https://svelte.dev/tutorial,104,0,0
